id,type_code,type_description,name,postcode,land_area,area_derivation,st_area_shape_,st_perimeter_shape_,object_id
"1239","152",Postal Locality,DULBELLING,"6383",167492396.72,CO,233429216.644649,76505.425627359,"1239"
"1240","152",Postal Locality,YALGOO,"6635",16996237236.252,CO,21959660074.7422,1047662.91389275,"1240"
"1241","152",Postal Locality,BINNINGUP,"6233",29322813.238,CO,41921364.3496625,36805.7293937646,"1241"
"1242","152",Postal Locality,BRENTWOOD,"6153",906251.752,CO,1260297.54484974,5661.06178400412,"1242"
"1243","152",Postal Locality,TOODYAY,"6566",62394345.549,CO,86260904.2850872,45491.0310891282,"1243"
"1244","152",Postal Locality,MYALUP,"6220",184600905.506,CO,263310093.586846,90892.302306247,"1244"
"1245","152",Postal Locality,BENNETT SPRINGS,"6063",4500137.461,CO,6119964.26624491,15393.0351508174,"1245"
"1246","152",Postal Locality,WOKALUP,"6221",80769193.068,CO,115480504.681677,60540.484396937,"1246"
"1247","152",Postal Locality,UDUC,"6220",72693542.428,CO,103749372.105807,44864.2804646441,"1247"
"1248","152",Postal Locality,MORLEY,"6062",10381450.836,CO,14450412.6504981,21693.7217282273,"1248"
"1249","152",Postal Locality,TANAMI,"6770",57896644631.446,CO,66198704079.6781,1673164.12670612,"1249"
"1250","152",Postal Locality,CITY BEACH,"6015",10014506.599,CO,13952982.5527505,20266.92467968,"1250"
"1251","152",Postal Locality,MAITLAND,"6714",2546909352.658,CO,3024303383.37018,335787.9229495,"1251"
"1252","152",Postal Locality,NEWMAN,"6753",28031149860.907,CO,33158850917.2075,1280320.59639984,"1252"
"1253","152",Postal Locality,MULGA DOWNS,"6751",3453616758.554,CO,4033506136.96403,404567.740126004,"1253"
"1254","152",Postal Locality,DUNN ROCK,"6355",566131893.299,CO,813075438.392843,121441.514436734,"1254"
"1255","152",Postal Locality,KATANNING,"6317",136323258.146,CO,197418516.362292,75198.00578623,"1255"
"1256","152",Postal Locality,LAKE KING,"6356",1373546293.898,CO,1962559689.23391,218499.919225541,"1256"
"1257","152",Postal Locality,SEPPINGS,"6330",1623639.65,CO,2425997.20204487,6518.69226240289,"1257"
"1258","152",Postal Locality,COLD HARBOUR,"6302",41227954.399,CO,57189066.4583304,39005.2604391243,"1258"
"1259","152",Postal Locality,HOWATHARRA,"6532",89973492.453,CO,117026236.964066,65862.567813329,"1259"
"1260","152",Postal Locality,GIRRAWHEEN,"6064",4071960.938,CO,5659400.20079722,10354.0453734178,"1260"
"1261","152",Postal Locality,OAKAJEE,"6532",32502913.543,CO,42318938.17036,30420.2904210177,"1261"
"1262","152",Postal Locality,WELLSTEAD,"6328",432410854.017,CO,637665051.44745,180966.593385801,"1262"
"1263","152",Postal Locality,BOXWOOD HILL,"6338",630676817.123,CO,927938171.546766,180530.111326567,"1263"
"1264","152",Postal Locality,BELMONT,"6104",4368928.525,CO,6089271.65634084,9894.97712803638,"1264"
"1265","152",Postal Locality,RIVERVALE,"6103",3304440.01,CO,4604353.59915956,9936.98976245252,"1265"
"1266","152",Postal Locality,MOUNT HARDEY,"6302",77227241.086,CO,107598283.279703,48250.72742088,"1266"
"1267","152",Postal Locality,ASCOT,"6104",3640314.497,CO,5074346.58457674,16411.6687699585,"1267"
"1268","152",Postal Locality,NEWLANDS,"6251",23418966.675,CO,33902545.3657527,31953.0767737896,"1268"
"1269","152",Postal Locality,KIRUP,"6251",76944150.15,CO,111468314.28536,75177.0927735288,"1269"
"1270","152",Postal Locality,BULLER,"6532",7011946.143,CO,9139687.23441447,15265.8833947497,"1270"
"1271","152",Postal Locality,MAYLANDS,"6051",4991731.511,CO,6918595.97677441,13542.1070794346,"1271"
"1272","152",Postal Locality,YETNA,"6532",63157284.703,CO,82151184.2453459,50804.9117758,"1272"
"1273","152",Postal Locality,WHITE PEAK,"6532",36971637.489,CO,48165491.9754067,37945.6378160466,"1273"
"1274","152",Postal Locality,WAGGRAKINE,"6530",31236341.743,CO,40741739.8037476,32883.7387473593,"1274"
"1275","152",Postal Locality,NARRA TARRA,"6532",98148854.632,CO,127962596.068459,72577.2669470282,"1275"
"1276","152",Postal Locality,REDMOND WEST,"6327",150971588.981,CO,221695088.846618,75155.1184345196,"1276"
"1277","152",Postal Locality,BORNHOLM,"6330",32614474.096,CO,51501143.5742531,37101.5542816916,"1277"
"1278","152",Postal Locality,YOUNGS SIDING,"6330",116015988.814,CO,160260589.613271,69094.8514617875,"1278"
"1279","152",Postal Locality,REDMOND,"6327",121401666.979,CO,180960302.186404,65343.9223719053,"1279"
"1280","152",Postal Locality,TORBAY,"6330",21514083.911,CO,153084467.483159,66297.0515644906,"1280"
"1281","152",Postal Locality,SCOTSDALE,"6333",150729432.045,CO,225789613.908353,93571.2977419532,"1281"
"1282","152",Postal Locality,HAY,"6333",132833063.893,CO,198144903.367034,80106.7668191504,"1282"
"1283","152",Postal Locality,MOUNT LINDESAY,"6333",266973610.901,CO,397048914.355741,122112.173459983,"1283"
"1284","152",Postal Locality,NARRIKUP,"6326",543151621.304,CO,807470309.572612,162272.3289998,"1284"
"1285","152",Postal Locality,MUCHEA,"6501",215075160.123,CO,297117191.051135,81871.5446043454,"1285"
"1286","152",Postal Locality,NORTH COOGEE,"6163",2749400.961,CO,3843761.64276092,11171.6142698816,"1286"
"1287","152",Postal Locality,CHITTERING,"6084",167292185.903,CO,231078936.259262,92482.4111578696,"1287"
"1288","152",Postal Locality,MOUNT NASURA,"6112",2741146.661,CO,3835009.55957139,9082.44013851362,"1288"
"1289","152",Postal Locality,ARMADALE,"6112",8305377.298,CO,11627267.201362,19286.0126782762,"1289"
"1290","152",Postal Locality,HELENA VALLEY,"6056",6264422.145,CO,8721908.61803623,18171.7221387906,"1290"
"1291","152",Postal Locality,BUSHMEAD,"6055",3177086.171,CO,4423793.11440081,10708.6696082633,"1291"
"1292","152",Postal Locality,GOOSEBERRY HILL,"6076",8911886.347,CO,12418939.1152719,19242.2563697236,"1292"
"1293","152",Postal Locality,MAIDA VALE,"6057",8412556.763,CO,11727221.4336932,16927.5556902732,"1293"
"1294","152",Postal Locality,CARINE,"6020",4673668.488,CO,6500396.26473831,11833.3386202787,"1294"
"1295","152",Postal Locality,GWELUP,"6018",2929912.575,CO,4076629.19551084,9175.24409585239,"1295"
"1296","152",Postal Locality,EAST VICTORIA PARK,"6101",3704341.818,CO,5378483.64800154,10207.0460970872,"1296"
"1297","152",Postal Locality,VICTORIA PARK,"6100",2598815.417,CO,3625120.68679569,8518.50930286763,"1297"
"1298","152",Postal Locality,BENTLEY,"6102",5357204.809,CO,7475869.86369295,16348.7124579934,"1298"
"1299","152",Postal Locality,CARABOODA,"6033",21367759.171,CO,29556758.7176699,25694.0215125803,"1299"
"1300","152",Postal Locality,KENSINGTON,"6151",2499202.439,CO,3486069.78480586,10669.1698888734,"1300"
"1301","152",Postal Locality,CLACKLINE,"6564",48280434.21,CO,66957201.7661922,43576.4874359366,"1301"
"1302","152",Postal Locality,EGLINTON,"6034",15002883.005,CO,20745513.8997951,19831.8274783995,"1302"
"1303","152",Postal Locality,ALKIMOS,"6038",15521533.254,CO,21641438.660875,20055.2383041967,"1303"
"1304","152",Postal Locality,BEACONSFIELD,"6162",2740868.115,CO,3829661.06318297,8597.63175688802,"1304"
"1305","152",Postal Locality,SOUTH FREMANTLE,"6162",1496414.533,CO,2186021.254391,12096.144743611,"1305"
"1306","152",Postal Locality,KATRINE,"6401",83200181.065,CO,115193995.201943,49141.8454078636,"1306"
"1307","152",Postal Locality,KARRATHA INDUSTRIAL ESTATE,"6714",11753534.328,CO,13510524.8457998,20363.7210938818,"1307"
"1308","152",Postal Locality,MILLARS WELL,"6714",3393312.401,CO,3899194.45979145,9163.73854624663,"1308"
"1309","152",Postal Locality,BANJUP,"6164",22466582.753,CO,19878252.2286831,22126.8311213159,"1309"
